idx,batch_idx,sample_idx,step,rmse,nmse
0,0,0,0,0.024214940145611763,0.00013223938003648072
0,0,0,1,0.02391980215907097,0.00012900587171316147
0,0,0,2,0.030904587358236313,0.00021530018420889974
0,0,0,3,0.03611442819237709,0.0002939565747510642
0,0,0,4,0.040787890553474426,0.0003749229945242405
0,0,0,5,0.04564924165606499,0.00046962546184659004
0,0,0,6,0.05010681226849556,0.0005658966838382185
0,0,0,7,0.05467788130044937,0.0006740321987308562
0,0,0,8,0.05922826752066612,0.0007911836146377027
0,0,0,9,0.06382983922958374,0.000919313111808151
0,0,0,10,0.06851954013109207,0.0010598823428153992
0,0,0,11,0.07327576726675034,0.0012127122608944774
0,0,0,12,0.07816960662603378,0.0013806968927383423
0,0,0,13,0.0831935778260231,0.0015644115628674626
0,0,0,14,0.08835899829864502,0.0017651317175477743
0,0,0,15,0.09364287555217743,0.001982809044420719
0,0,0,16,0.09903925657272339,0.0022179577499628067
0,0,0,17,0.10456325113773346,0.002472038147971034
0,0,0,18,0.11023326963186264,0.002746841637417674
0,0,0,19,0.11606843769550323,0.003044411074370146
0,0,0,20,0.12208498269319534,0.0033668815158307552
0,0,0,21,0.12831000983715057,0.0037172697484493256
0,0,0,22,0.1347692459821701,0.004098906181752682
0,0,0,23,0.1414612978696823,0.0045137954875826836
0,0,0,24,0.14836423099040985,0.004962644074112177
1,0,1,0,0.022238532081246376,0.00011144726886413991
1,0,1,1,0.02368546836078167,0.0001263689191546291
1,0,1,2,0.030862919986248016,0.00021447981998790056
1,0,1,3,0.03653531149029732,0.00030046256142668426
1,0,1,4,0.041247837245464325,0.0003828558255918324
1,0,1,5,0.04579351097345352,0.0004717647680081427
1,0,1,6,0.04951034486293793,0.0005513314972631633
1,0,1,7,0.05303957685828209,0.0006326272268779576
1,0,1,8,0.056309230625629425,0.0007129566511139274
1,0,1,9,0.059494711458683014,0.0007958817877806723
1,0,1,10,0.06261467188596725,0.0008815735345706344
1,0,1,11,0.06565935164690018,0.0009694615146145225
1,0,1,12,0.06870005279779434,0.001061426242813468
1,0,1,13,0.07178178429603577,0.0011588972993195057
1,0,1,14,0.07501290738582611,0.0012656968319788575
1,0,1,15,0.07848311960697174,0.0013856410514563322
1,0,1,16,0.0822535902261734,0.0015221091452986002
1,0,1,17,0.0863160490989685,0.0016763031017035246
1,0,1,18,0.09060539305210114,0.0018471626099199057
1,0,1,19,0.09503161907196045,0.0020321409683674574
1,0,1,20,0.09950447082519531,0.002227997640147805
1,0,1,21,0.10397771745920181,0.0024328227154910564
1,0,1,22,0.10846059024333954,0.0026470341254025698
1,0,1,23,0.11298874765634537,0.002872461685910821
1,0,1,24,0.11760717630386353,0.003111717291176319
2,0,2,0,0.0227925144135952,0.00011685444769682363
2,0,2,1,0.023426754400134087,0.00012342206900939345
2,0,2,2,0.030276654288172722,0.00020609740749932826
2,0,2,3,0.035606272518634796,0.00028495737933553755
2,0,2,4,0.04011019319295883,0.0003614863089751452
2,0,2,5,0.0447455570101738,0.0004497042391449213
2,0,2,6,0.048883818089962006,0.0005365346441976726
2,0,2,7,0.05306645482778549,0.000632049806881696
2,0,2,8,0.05710072070360184,0.0007315605762414634
2,0,2,9,0.06103619560599327,0.0008356462931260467
2,0,2,10,0.06491560488939285,0.0009450729703530669
2,0,2,11,0.0687427967786789,0.0010597220389172435
2,0,2,12,0.07256001234054565,0.0011807443806901574
2,0,2,13,0.07631367444992065,0.0013062667567282915
2,0,2,14,0.07997454702854156,0.001434891950339079
2,0,2,15,0.08350761234760284,0.0015647985273972154
2,0,2,16,0.08693420886993408,0.0016961491201072931
2,0,2,17,0.09031303972005844,0.0018307750578969717
2,0,2,18,0.09371768683195114,0.001971506280824542
2,0,2,19,0.09720176458358765,0.002120773773640394
2,0,2,20,0.1007852628827095,0.0022798380814492702
2,0,2,21,0.10447660088539124,0.0024495727848261595
2,0,2,22,0.1082722395658493,0.002630345756188035
2,0,2,23,0.11218192428350449,0.002823184709995985
2,0,2,24,0.1162228062748909,0.003029582090675831
3,0,3,0,0.02422511950135231,0.00013159317313693464
3,0,3,1,0.025599485263228416,0.00014691453543491662
3,0,3,2,0.03280927240848541,0.00024126883363351226
3,0,3,3,0.0384841151535511,0.0003318865201435983
3,0,3,4,0.04301729053258896,0.00041462379158474505
3,0,3,5,0.04771973565220833,0.0005101980641484261
3,0,3,6,0.05182039737701416,0.0006016733823344111
3,0,3,7,0.056011881679296494,0.0007030442939139903
3,0,3,8,0.060074228793382645,0.0008089228067547083
3,0,3,9,0.06409555673599243,0.0009211549768224359
3,0,3,10,0.06806972622871399,0.0010393393458798528
3,0,3,11,0.0719582810997963,0.0011619731085374951
3,0,3,12,0.07580894231796265,0.001290211221203208
3,0,3,13,0.07959207892417908,0.0014227801002562046
3,0,3,14,0.08332903683185577,0.0015601288760080934
3,0,3,15,0.08704840391874313,0.0017031643074005842
3,0,3,16,0.0908045694231987,0.001854059868492186
3,0,3,17,0.09461300820112228,0.002013702178373933
3,0,3,18,0.09845028072595596,0.0021813444327563047
3,0,3,19,0.10228884220123291,0.0023558589164167643
3,0,3,20,0.10611367225646973,0.0025364949833601713
3,0,3,21,0.10993324965238571,0.0027235436718910933
3,0,3,22,0.11376626789569855,0.0029178636614233255
3,0,3,23,0.11765996366739273,0.0031219488009810448
3,0,3,24,0.12165474146604538,0.003338244976475835
4,0,4,0,0.02418186329305172,0.00013191252946853638
4,0,4,1,0.02582087554037571,0.00015039903519209474
4,0,4,2,0.03296045586466789,0.00024503900203853846
4,0,4,3,0.03876369073987007,0.0003388419863767922
4,0,4,4,0.04311015456914902,0.0004189531900919974
4,0,4,5,0.047664232552051544,0.0005119459819979966
4,0,4,6,0.0513513907790184,0.00059396808501333
4,0,4,7,0.05497776344418526,0.0006805394659750164
4,0,4,8,0.05823638662695885,0.000763310061302036
4,0,4,9,0.06124452129006386,0.0008439188241027296
4,0,4,10,0.06407032907009125,0.0009233357268385589
4,0,4,11,0.06673631072044373,0.0010015576845034957
4,0,4,12,0.06939768046140671,0.0010828577214851975
4,0,4,13,0.07211372256278992,0.0011691451072692871
4,0,4,14,0.07497907429933548,0.001263811020180583
4,0,4,15,0.0780157521367073,0.0013682115823030472
4,0,4,16,0.0812678262591362,0.0014846731210127473
4,0,4,17,0.08476416766643524,0.001615268993191421
4,0,4,18,0.0884784385561943,0.0017601482104510069
4,0,4,19,0.09232619404792786,0.0019169580191373825
4,0,4,20,0.09624610096216202,0.002083808183670044
4,0,4,21,0.10028251260519028,0.0022631543688476086
4,0,4,22,0.1045481339097023,0.0024609991814941168
4,0,4,23,0.10909684747457504,0.002681376412510872
4,0,4,24,0.11386312544345856,0.002922732150182128
5,0,5,0,0.022058136761188507,0.00010976908379234374
5,0,5,1,0.02506256103515625,0.0001418196188751608
5,0,5,2,0.032373685389757156,0.00023682355822529644
5,0,5,3,0.038137007504701614,0.0003289161541033536
5,0,5,4,0.04271935671567917,0.00041302083991467953
5,0,5,5,0.04720625653862953,0.0005046837031841278
5,0,5,6,0.050903789699077606,0.0005871900939382613
